z1,z2,FK_x,FK_y,Fentry_x,Fentry_y,Fexit_x,Fexit_y,Fzga_x,Fzga_y,Fwrong_exit_x,Fwrong_exit_y,gM,g8,gB
-1.1999999999999997,-4.0,0.04802530667048207,1.7106753612380177,-0.48445978605902357,0.1302664325692117,-0.10327077310028192,-0.05062469416895522,0.4149021734464152,0.28231883993931156,0.10327077310028192,0.05062469416895522,0.11501179172786233,0.5016678460526517,0.0015943756606995013
-1.0999999999999996,-4.0,0.0041353066704820345,1.7106753612380177,-0.48013551964468754,0.12910368020981197,-0.09877067027144469,-0.048418684447138656,0.40248237151042254,0.27386782594312115,0.09877067027144469,0.048418684447138656,0.11000006504308574,0.49718998126332636,0.001322185374310686
-1.0,-4.0,-0.0397546933295178,1.7106753612380177,-0.4753900268529561,0.12782766425441036,-0.09425897669572476,-0.04620699278842445,0.39005706189314837,0.2654130642630437,0.09425897669572476,0.04620699278842445,0.1049754298409579,0.49227592809360415,0.001089767726444701
-0.8999999999999999,-4.0,-0.08364469332951784,1.7106753612380177,-0.4702365969721308,0.12644195806085462,-0.08975560676719262,-0.043999381491274324,0.37765005767525484,0.25697075843267847,0.08975560676719262,0.043999381491274324,0.09996006461472,0.4869394478686345,0.0008927203520206325
-0.7999999999999998,-4.0,-0.12753469332951786,1.7106753612380177,-0.4646895579837394,0.12495041428130126,-0.08527949122106128,-0.041805130651612635,0.36528437358508886,0.2485565687493783,0.08527949122106128,0.041805130651612635,0.09497505236501409,0.4811953775012803,0.0007268366699886328
-0.6999999999999997,-4.0,-0.1714246933295179,1.7106753612380177,-0.45876421023838015,0.123357147028308,-0.08084846171374932,-0.039632981582451925,0.35298216386925285,0.24018556999847995,0.08084846171374932,0.039632981582451925,0.09004025205766959,0.4750595608121214,0.0005881635742687019
-0.5999999999999996,-4.0,-0.21531469332951794,1.7106753612380177,-0.45247675621235006,0.12166651298708732,-0.07647915280692842,-0.03749108876518109,0.3407646662561078,0.23187221332345187,0.07647915280692842,0.03749108876518109,0.08517418946416115,0.4685487757910313,0.00047304158330660706
-0.5,-4.0,-0.2592046933295178,1.7106753612380177,-0.44584422679589747,0.11988309159514877,-0.07218692174738833,-0.03538698052459783,0.3286521521321744,0.22363029232358744,0.07218692174738833,0.03538698052459783,0.08039396782111878,0.4616806582671813,0.0003781293734375
-0.3999999999999999,-4.0,-0.30309469332951783,1.7106753612380177,-0.43888440458171385,0.11801166441533494,-0.06798578614822323,-0.033327528479404775,0.31666388300610865,0.2154729134300583,0.06798578614822323,0.033327528479404775,0.07571519842638898,0.45447362247273143,0.00030041485982465943
-0.2999999999999998,-4.0,-0.34698469332951787,1.7106753612380177,-0.4316157446362196,0.11605719383200587,-0.06388837940356146,-0.031318925685922344,0.30481807329062055,0.20741247058099152,0.06388837940356146,0.031318925685922344,0.07115195098479418,0.4469467789999049,0.00023721508719414666
-0.19999999999999973,-4.0,-0.3908746933295179,1.7106753612380177,-0.4240572932462629,0.11402480120283211,-0.0599059234133954,-0.02936667326744083,0.29313185938967984,0.19946062418695873,0.0599059234133954,0.02936667326744083,0.06671672323200507,0.43911985066156134,0.0001861671730464757
-0.09999999999999964,-4.0,-0.43476469332951795,1.7106753612380177,-0.41622860513996657,0.11191974460030124,-0.05604821796095193,-0.0274755752068674,0.281621275036965,0.19162828435010382,0.05604821796095193,0.0274755752068674,0.0624204291042074,0.43101308677171973,0.00014521243274040802
0.0,-4.0,-0.47865469332951777,1.7106753612380177,-0.4081496596826861,0.10974739627764202,-0.05232364587573623,-0.025649740877718197,0.27030123279203466,0.18392559827327257,0.05232364587573623,0.025649740877718197,0.05827240448814041,0.4226471763647887,0.00011257563330879043
0.10000000000000053,-4.0,-0.522544693329518,1.7106753612380177,-0.39984077654736466,0.10751321999341903,-0.04873919293342479,-0.02389259479930821,0.2591855115634126,0.17636194177013625,0.04873919293342479,0.02389259479930821,0.05428042938344042,0.41404316087052423,8.674109431756747e-05
0.20000000000000018,-4.0,-0.5664346933295178,1.7106753612380177,-0.3913225313531312,0.10522274832758828,-0.04530048129098379,-0.022206893027086984,0.24828674999290865,0.16894591476357443,0.04530048129098379,0.022206893027086984,0.05045076513905103,0.4052223467561019,6.642710037148867e-05
0.2999999999999998,-4.0,-0.6103246933295177,1.7106753612380177,-0.38261567175683986,0.1028815601193441,-0.04201181513281858,-0.020594745528982775,0.2376164455032463,0.16168534063763587,0.04201181513281858,0.020594745528982775,0.046788205288956,0.39620621863721983,5.0559828745367364e-05
