z1,z2,in_morula_basin,in_8cell_basin,in_blast_basin,dist_morula,dist_8cell,dist_blast
-1.5999999999999996,-3.8,0,0,0,4.084803283325131,3.5069384029306128,4.176366906289999
-1.5,-3.8,0,0,0,4.124376294261536,3.5219451109377173,4.239490903768985
-1.4,-3.8,0,0,0,4.16597428819109,3.5397143623414955,4.304012745139777
-1.2999999999999998,-3.8,0,0,0,4.209537233838418,3.5602047931931153,4.3698705126709765
-1.1999999999999997,-3.8,0,0,0,4.255004779818084,3.583369723037773,4.437004719931789
-1.0999999999999996,-3.8,0,0,0,4.302316542222049,3.609157654424697,4.505358306714644
-1.0,-3.8,0,0,0,4.351412366425438,3.637512800939806,4.57487661681365
-0.8999999999999999,-3.8,0,0,0,4.40223256267578,3.6683756322805228,4.645507361554169
-0.7999999999999998,-3.8,0,0,0,4.454718115558572,3.701683425418508,4.717200571678042
-0.6999999999999997,-3.8,0,0,0,4.508810867877301,3.7373708117507785,4.789908539901917
-0.5999999999999996,-3.8,0,0,0,4.564453679849452,3.7753703112456725,4.863585756189663
-0.5,-3.8,0,0,0,4.6215905648049285,3.81561284586681,4.938188837518939
-0.3999999999999999,-3.8,0,0,0,4.6801668027856325,3.858028225927383,5.013676453679706
-0.2999999999999998,-3.8,0,0,0,4.740129033591747,3.902545604417835,5.090009250420669
-0.19999999999999973,-3.8,0,0,0,4.8014253309097885,3.94909389570184,5.167149771058862
-0.09999999999999964,-3.8,0,0,0,4.864005259197908,3.997602156240427,5.245062377487928
0.0,-3.8,0,0,0,4.9278199150037585,4.04799992614707,5.3237131713612245
0.10000000000000053,-3.8,0,0,0,4.992821954357115,4.100217531375044,5.40306991608573
0.20000000000000018,-3.8,0,0,0,5.058965607820747,4.154186347180857,5.483101960140475
0.2999999999999998,-3.8,0,0,0,5.126206684705162,4.209839024192303,5.5637801621273635
0.40000000000000036,-3.8,0,0,0,5.194502567861395,4.267109678942056,5.645076817871273
0.5,-3.8,0,0,0,5.263812200365945,4.32593405111885,5.726965589808736
0.6000000000000005,-3.8,0,0,0,5.334096065307046,4.3862496300527765,5.809421438838724
0.7000000000000002,-3.8,0,0,0,5.405316159775194,4.447995753105739,5.892420558753819
0.8000000000000007,-3.8,0,0,0,5.477435964055591,4.511113678700113,5.975940313323949
0.9000000000000004,-3.8,0,0,0,5.55042040691805,4.575546636705153,6.059959176066783
1.0,-3.8,0,0,0,5.6242358278023055,4.641239858827856,6.144456672707658
1.1000000000000005,-3.8,0,0,0,5.698849936604562,4.708140591537277,6.229413326306687
1.2000000000000002,-3.8,0,0,0,5.774231771685352,4.7761980939016295,6.314810605010494
1.3000000000000007,-3.8,0,0,0,5.850351656639394,4.845363622546623,6.400630872370213
