sample_id	observed_region_fraction	n_observed_regions	n_regions
GSM2481587	0.2948717948717949	46	156
GSM2481588	0.3525641025641026	55	156
GSM2481589	0.3717948717948718	58	156
GSM2481590	0.358974358974359	56	156
GSM2481591	0.3782051282051282	59	156
GSM2481592	0.7948717948717948	124	156
GSM2481593	0.8910256410256411	139	156
GSM2481594	0.8974358974358975	140	156
GSM2481595	0.8589743589743589	134	156
GSM2481614	0.17307692307692307	27	156
GSM2481615	0.28205128205128205	44	156
GSM2481618	0.26282051282051283	41	156
GSM2481619	0.2948717948717949	46	156
GSM2481620	0.24358974358974358	38	156
GSM2481621	0.28205128205128205	44	156
GSM2481622	0.23076923076923078	36	156
GSM2481623	0.32051282051282054	50	156
GSM2481624	0.3525641025641026	55	156
GSM2481626	0.2948717948717949	46	156
GSM2481627	0.16025641025641027	25	156
GSM2481628	0.6602564102564102	103	156
GSM2481629	0.5256410256410257	82	156
GSM2481630	0.5897435897435898	92	156
GSM2481631	0.6474358974358975	101	156
GSM2481632	0.5705128205128205	89	156
GSM2481633	0.6410256410256411	100	156
GSM2481634	0.6666666666666666	104	156
GSM2481635	0.48717948717948717	76	156
GSM2481636	0.5128205128205128	80	156
GSM2481637	0.5064102564102564	79	156
GSM2481638	0.5833333333333334	91	156
GSM2481639	0.44871794871794873	70	156
GSM2481640	0.5897435897435898	92	156
GSM2481641	0.6666666666666666	104	156
GSM2481642	0.5769230769230769	90	156
GSM2481643	0.6153846153846154	96	156
GSM2481644	0.07051282051282051	11	156
GSM2481645	0.14743589743589744	23	156
GSM2481646	0.1794871794871795	28	156
GSM2481647	0.17307692307692307	27	156
GSM2481648	0.1858974358974359	29	156
GSM2481649	0.1346153846153846	21	156
GSM2481650	0.5128205128205128	80	156
GSM2481651	0.5897435897435898	92	156
GSM2986307	0.9615384615384616	150	156
GSM2986308	0.46794871794871795	73	156
GSM2986309	0.6282051282051282	98	156
GSM2986310	0.532051282051282	83	156
GSM2986311	0.6282051282051282	98	156
GSM2986312	0.6602564102564102	103	156
GSM2986313	0.6410256410256411	100	156
GSM2986314	0.6538461538461539	102	156
GSM2986315	0.7371794871794872	115	156
GSM2986316	0.6089743589743589	95	156
GSM2986317	0.33974358974358976	53	156
GSM2986318	0.2948717948717949	46	156
GSM2986319	0.4358974358974359	68	156
GSM2986320	0.3525641025641026	55	156
GSM2986321	0.391025641025641	61	156
GSM2986322	0.36538461538461536	57	156
GSM2986323	0.391025641025641	61	156
GSM2986324	0.44871794871794873	70	156
GSM2986325	0.3717948717948718	58	156
GSM2986326	0.41025641025641024	64	156
GSM2986327	0.5512820512820513	86	156
GSM2986328	0.47435897435897434	74	156
GSM2986329	0.44871794871794873	70	156
GSM2986330	0.28846153846153844	45	156
GSM2986331	0.5961538461538461	93	156
GSM2986332	0.6666666666666666	104	156
GSM2986333	0.7564102564102564	118	156
GSM2986334	0.6025641025641025	94	156
GSM2986335	0.6794871794871795	106	156
GSM2986336	0.5384615384615384	84	156
GSM2986344	0.8076923076923077	126	156
GSM2986345	0.7628205128205128	119	156
GSM2986346	0.8461538461538461	132	156
GSM2986347	0.6730769230769231	105	156
GSM2986348	0.7307692307692307	114	156
GSM2986349	0.7564102564102564	118	156
GSM2986350	0.8012820512820513	125	156
GSM2986351	0.6987179487179487	109	156
GSM2986352	0.6474358974358975	101	156
GSM2986353	0.7628205128205128	119	156
GSM2986354	0.8717948717948718	136	156
GSM2986355	0.5384615384615384	84	156
GSM2986356	0.7051282051282052	110	156
GSM2986357	0.6923076923076923	108	156
GSM2986358	0.8269230769230769	129	156
