geo_accession	sample	population	individual	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	meth	total	beta
GSM2948422	SP1_RRBS	SP	1	cluster_4920	75	0.0196173272824462	M13	1.0	7.0	0.14285714285714285
GSM2948422	SP1_RRBS	SP	1	cluster_4084	76	-0.0195509484423129	M04	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_634	77	0.0191270264069371	M13	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4449	78	0.0189100674522665	M13	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3227	79	0.0182982290311602	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_483	80	-0.0182694894255372	M11	0.0	1.0	0.0
GSM2948422	SP1_RRBS	SP	1	cluster_1586	81	0.0172386176409699	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_2004	82	0.0160837424277074	M11	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5020	83	-0.0153864516463316	M00	0.0	3.0	0.0
GSM2948422	SP1_RRBS	SP	1	cluster_4889	84	-0.0150375801511645	M01	61.0	72.0	0.8472222222222222
GSM2948422	SP1_RRBS	SP	1	cluster_5516	85	0.0145793093893729	M07	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3766	86	0.0144981483232047	M14	2.0	6.0	0.3333333333333333
GSM2948422	SP1_RRBS	SP	1	cluster_5599	87	0.014392782084662	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3967	88	0.013740044568184	M06	1.0	2.0	0.5
GSM2948422	SP1_RRBS	SP	1	cluster_4897	89	-0.0136649263686845	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_126	90	-0.0135635274944179	M06	3.0	10.0	0.3
GSM2948422	SP1_RRBS	SP	1	cluster_1126	91	-0.0135334574224416	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5760	92	0.0134841343385623	M06	12.0	14.0	0.8571428571428571
GSM2948422	SP1_RRBS	SP	1	cluster_6442	93	-0.0131981346851816	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1007	94	0.0125476901199886	M00	0.0	2.0	0.0
GSM2948422	SP1_RRBS	SP	1	cluster_618	95	0.0124576729934927	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4538	96	-0.0121196315524591	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3928	97	-0.0120497501188807	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1607	98	0.0117056333091945	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_7683	99	-0.0115945833010138	M06	1.0	2.0	0.5
GSM2948422	SP1_RRBS	SP	1	cluster_6020	100	-0.0114444631483763	M06	3.0	8.0	0.375
GSM2948422	SP1_RRBS	SP	1	cluster_7095	101	0.011326551648274	M06	28.0	84.0	0.3333333333333333
GSM2948422	SP1_RRBS	SP	1	cluster_293	102	-0.0113203313595498	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_23	103	0.0109137307456697	M06	87.0	151.0	0.5761589403973509
GSM2948422	SP1_RRBS	SP	1	cluster_7052	104	-0.0107305322500505	M08	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4551	105	0.0105117013064552	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5656	106	0.0102486990911319	M14	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3123	107	0.0100925810247043	M01	6.0	14.0	0.42857142857142855
GSM2948422	SP1_RRBS	SP	1	cluster_4064	108	-0.0098634878555215	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1257	109	-0.0096917226454566	M02	2.0	48.0	0.041666666666666664
GSM2948422	SP1_RRBS	SP	1	cluster_5659	110	0.0094636497262664	M07	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_2727	111	0.0090489299184929	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4593	112	-0.0089748354245758	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5447	113	0.0086766287176006	M02	0.0	5.0	0.0
GSM2948422	SP1_RRBS	SP	1	cluster_5608	114	0.0086324813042938	M00	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5336	115	0.0085940936800676	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3303	116	0.0085939111069334	M02	147.0	215.0	0.6837209302325581
GSM2948422	SP1_RRBS	SP	1	cluster_6400	117	0.0079365451189275	M04	142.0	233.0	0.6094420600858369
GSM2948422	SP1_RRBS	SP	1	cluster_4420	118	0.0078800653460011	M06	0.0	0.0	
